Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity BOTV1	Intensity BOTV2	Intensity BOTV3	Intensity P1G1	Intensity P1G10	Intensity P1G5	Intensity P2A1	Intensity P2A10	Intensity P2A11	Intensity P2A2	Intensity P2A3	Intensity P2A5	Intensity P2A6	Intensity P2A7	Intensity P2A9	Intensity TOPV1	Intensity TOPV2	Intensity TOPV3
Roseburia intestinalis	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	0	219334000	0	0	5354000	381033000	29067100	0	0	0	29760000	370931100	638612200	510565500	51031000	6500400	173675000	0
Sphingobacteriaceae	Family	Bacteria		Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae			0	0	8234800	0	15061000	18736000	0	29172000	35605000	0	0	10066000	10994000	12232000	27818000	0	16222200	19639000
Sutterella	Genus	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella		0	39005700	841202000	0	2497554400	305268400	0	205644000	208060600	0	56142000	2644500	0	0	144887700	0	319966910	2679152600
Negativicutes	Class	Bacteria		Firmicutes	Negativicutes					1511911300	45023925700	8367669600	3335200600	6847423800	35585948800	1478547900	2881944100	1838003500	954054300	1545667100	5294705500	6619249800	6338063300	2656442200	4231306900	8719829200	2896965300
Sutterella wadsworthensis	Species	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella wadsworthensis	0	0	14147000	0	11051000	19674000	0	9346800	0	0	0	0	0	0	15672000	0	57284100	12415000
Fusicatenibacter	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter		92995000	9484200	0	119943400	16038000	23327000	349817400	0	0	181136500	301386400	9563600	9883400	8061400	0	71171000	0	0
Prevotella sp. P5-119	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. P5-119	0	93914000	62248000	0	139612000	459269600	0	605501000	1695027700	0	0	875754600	1020126800	1390375400	1079004000	0	668415800	224064000
Selenomonadales	Order	Bacteria		Firmicutes	Negativicutes	Selenomonadales				222727100	15249661800	7133239100	153811000	4995601300	9669405600	127180000	1489745600	828602300	68502000	138505600	1789695800	1851626900	1829544200	1251019100	89204000	768499500	1173385200
Acidaminococcaceae	Family	Bacteria		Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae			365234200	6622474600	28897000	2467712600	172851500	7631913300	645466400	30727000	0	446151300	879895500	342314900	383219400	390307700	12575000	3551996900	3052206800	117733900
Holdemanella	Genus	Bacteria		Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella		0	86022200	0	0	0	107269000	0	0	23835000	0	0	0	0	0	0	0	11518000	0
