Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity BOTV1	Intensity BOTV2	Intensity BOTV3	Intensity P1G1	Intensity P1G10	Intensity P1G5	Intensity P2A1	Intensity P2A10	Intensity P2A11	Intensity P2A2	Intensity P2A3	Intensity P2A5	Intensity P2A6	Intensity P2A7	Intensity P2A9	Intensity TOPV1	Intensity TOPV2	Intensity TOPV3
Megasphaera elsdenii	Species	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera elsdenii	0	3265442700	0	0	0	1836540000	0	0	0	0	0	33155500	43313500	43703400	0	0	54030900	0
Dorea	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		753078800	1247822100	3051925400	1136841000	2197789050	956668900	398361800	1390818900	1032166400	246359800	491128600	409986800	512157800	410416200	1350147000	2752514500	596911300	3772206300
Bacteroides xylanisolvens	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	0	0	0	0	0	26213000	0	0	0	0	0	23397700	32236200	26594400	0	0	23152000	0
Poales	Order	Eukaryota	Viridiplantae	Streptophyta	Liliopsida	Poales				0	34881000	0	0	0	51915000	0	31957000	0	0	0	11549000	20591000	0	0	0	92357000	10228000
Spirochaetes	Phylum	Bacteria		Spirochaetes						0	7065000	32613300	75370000	9854800	19108000	44315000	50992000	48004000	30990000	71411000	0	0	0	59954000	63286000	22599000	78324000
Marvinbryantia	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Marvinbryantia		39742800	24525000	46952000	51108000	88433000	13228000	8793000	0	0	10122000	0	0	0	0	0	48901000	0	62350000
Spirochaetia	Class	Bacteria		Spirochaetes	Spirochaetia					0	7065000	32613300	75370000	9854800	19108000	44315000	50992000	48004000	30990000	71411000	0	0	0	59954000	63286000	22599000	78324000
Bacilli	Class	Bacteria		Firmicutes	Bacilli					1127719000	115591600	1999638000	2502131000	157887000	391802200	2585760000	3291308000	3760444300	1033922000	148652200	46885600	69043600	79403800	1988814700	444570000	243129500	1001183000
Bacteroidia	Class	Bacteria		Bacteroidetes	Bacteroidia					13151482100	38460721000	23294567600	46695646700	59729094200	90200551400	36482512700	1.65635E+11	1.14718E+11	27989663960	35244641450	66985139600	96957516300	75827337400	1.33088E+11	79786632380	76194096700	93536362100
Flavonifractor plautii	Species	Bacteria		Firmicutes	Clostridia	Clostridiales		Flavonifractor	Flavonifractor plautii	10002000	58966000	25437600	11603000	29601000	82216000	0	0	0	0	0	0	0	0	0	0	58069000	0
Flavobacteriales	Order	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales				0	117762000	0	0	0	29925000	0	0	0	9149600	0	21485000	39598100	34897500	0	7305100	77875000	0
Burkholderiales	Order	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales				0	76605700	841202000	26557000	2507731400	305268400	0	205644000	208060600	0	67555000	2644500	20408000	7342400	144887700	81571300	319966910	2733435100
Selenomonas	Genus	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas		0	130047000	0	0	0	127004000	0	0	0	0	0	74852800	110129000	52179000	0	0	40034000	0
Bacteroidetes	Phylum	Bacteria		Bacteroidetes						13960160700	41881432200	24401874200	50569571100	62744747400	95494748400	39553238100	1.7449E+11	1.20792E+11	29639612360	38486486150	71831835600	1.07419E+11	80975460700	1.40611E+11	85078885280	81379902400	99203491400
Sphingobacteriales	Order	Bacteria		Bacteroidetes	Sphingobacteriia	Sphingobacteriales				0	0	8234800	0	15061000	18736000	0	29172000	35605000	0	0	10066000	10994000	12232000	27818000	0	16222200	19639000
Bacteroides salanitronis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salanitronis	0	0	0	0	0	0	0	0	0	0	0	22547500	11720000	0	0	0	0	0
Eubacterium plexicaudatum	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium plexicaudatum	0	0	0	0	20292000	0	50324000	0	0	26175000	26443000	7002800	0	7066800	0	15200000	16480000	0
Flavobacteriia	Class	Bacteria		Bacteroidetes	Flavobacteriia					0	117762000	0	0	0	29925000	0	0	0	9149600	0	21485000	39598100	34897500	0	7305100	77875000	0
Sphingobacteriia	Class	Bacteria		Bacteroidetes	Sphingobacteriia					0	0	8234800	0	15061000	18736000	0	29172000	35605000	0	0	10066000	10994000	12232000	27818000	0	16222200	19639000
Bilophila	Genus	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila		0	0	34065800	0	13760000	29307000	0	67248100	27542000	0	0	0	0	0	30525000	0	0	12277000
Capnocytophaga	Genus	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga		0	17405000	0	0	0	0	0	0	0	0	0	21485000	28788100	24584500	0	0	67582000	0
Butyricicoccus	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus		38389000	135981000	136043900	55412000	66142200	159951000	71836200	61310900	53143000	104926200	59602000	37699000	19317400	33732300	32717200	112283000	121056500	167036000
